[2024-04-24 23:21:20,784 INFO com.tech.panda.account.Level_13_Apply_Log] - Login_01 - Step 01: Click to My Account Link
[2024-04-24 23:21:23,675 INFO com.tech.panda.account.Level_13_Apply_Log] - Login_01 - Step 02: Enter to Email Address textbox with empty data
[2024-04-24 23:21:23,767 INFO com.tech.panda.account.Level_13_Apply_Log] - Login_01 - Step 03: Enter to Password textbox with empty data
[2024-04-24 23:21:23,846 INFO com.tech.panda.account.Level_13_Apply_Log] - Login_01 - Step 04: Click to Login Button
[2024-04-24 23:21:24,172 INFO com.tech.panda.account.Level_13_Apply_Log] - Login_01 - Step 05: Verify error message for Email Address textbox
[2024-04-24 23:21:24,227 INFO com.tech.panda.account.Level_13_Apply_Log] - Login_01 - Step 06: Verify error message for Password textbox
[2024-04-25 00:12:08,757 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_01 - Step 01: Click to My Account Link
[2024-04-25 00:12:09,893 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_01 - Step 02: Enter to Email Address textbox with empty data
[2024-04-25 00:12:09,963 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_01 - Step 03: Enter to Password textbox with empty data
[2024-04-25 00:12:10,044 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_01 - Step 04: Click to Login Button
[2024-04-25 00:12:10,364 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_01 - Step 05: Verify error message is displayed
[2024-04-25 00:12:10,419 INFO com.tech.panda.account.Level_13_Log_ReportNG] - ----------------------PASSED----------------------
[2024-04-25 00:12:10,466 INFO com.tech.panda.account.Level_13_Log_ReportNG] - ----------------------PASSED----------------------
[2024-04-25 00:12:10,469 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_02 - Step 01: Click to My Account Link
[2024-04-25 00:12:11,571 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_02 - Step 02: Enter to 'Email Address' textbox
[2024-04-25 00:12:11,657 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_02 - Step 03: Enter to 'Password' textbox
[2024-04-25 00:12:11,749 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_02 - Step 04: Click to Login button
[2024-04-25 00:12:12,036 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_02 - Step 05: Verify error message is displayed
[2024-04-25 00:12:12,088 INFO com.tech.panda.account.Level_13_Log_ReportNG] - ----------------------PASSED----------------------
[2024-04-25 00:12:12,091 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_03 - Step 01: Click to My Account Link
[2024-04-25 00:12:13,312 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_03 - Step 02: Enter to 'Email Address' textbox
[2024-04-25 00:12:13,397 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_03 - Step 02: Enter to 'Password' textbox
[2024-04-25 00:12:13,470 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_03 - Step 04: Click to Login button
[2024-04-25 00:12:14,864 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_03 - Step 05: Verify error message is displayed
[2024-04-25 00:12:14,917 INFO com.tech.panda.account.Level_13_Log_ReportNG] - ----------------------PASSED----------------------
[2024-04-25 00:12:14,920 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_04 - Step 01: Click to My Account link
[2024-04-25 00:12:16,030 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_04 - Step 02: Enter to 'Email Address' textbox
[2024-04-25 00:12:16,116 INFO com.tech.panda.account.Level_13_Log_ReportNG] - Login_04 - Step 03: Enter to 'Password' textbox
